method,model,MAE,RMSE,NNSE,WI,R,KGE,run_time,best_params,best_estimator
GridSearchCV,SVC,0.07628652335143125,0.1076576581160026,0.8444726921357067,0.9495126762083368,0.9041497792559587,0.8899794047308656,4604.176978291012,"{'C': 20.0, 'coef0': 0.0, 'gamma': 'scale', 'kernel': 'rbf'}",SVR(C=20.0)
RandomizedSearchCV,SVC,0.0764118485924079,0.10810870581424287,0.8433713003586526,0.9488860520511645,0.9031783023425806,0.8858404069902202,1119.9384884090396,"{'C': np.float64(15.137146876952343), 'coef0': np.float64(0.7290071680409873), 'gamma': 'scale', 'kernel': 'rbf'}","SVR(C=np.float64(15.137146876952343), coef0=np.float64(0.7290071680409873))"
BayesSearchCV,SVC,0.07628652335143125,0.1076576581160026,0.8444726921357067,0.9495126762083368,0.9041497792559587,0.8899794047308656,2777.6332462339196,"OrderedDict({'C': 20.0, 'coef0': 0.0, 'gamma': 'scale', 'kernel': 'rbf'})",SVR(C=20.0)
Optuna,SVC,0.07629416387566071,0.10765700988952817,0.8444742737610025,0.94951001827122,0.9041485329567642,0.8899925745344954,510.59403271600604,"{'C': 19.940534979576064, 'kernel': 'rbf', 'gamma': 'scale', 'coef0': 0.4054963374684259}","SVR(C=np.float64(18.45558525594767), coef0=np.float64(1.0))"
RW-GWO,SVC,0.07630836440285926,0.1078298060737349,0.8440525365297376,0.9492822346225496,0.9037836532179112,0.888710141040223,23271.159646307002,"{'C': np.float64(18.212924980734496), 'kernel': 'rbf', 'gamma': 'scale', 'coef0': np.float64(0.5123383933165301)}","SVR(C=np.float64(18.45558525594767), coef0=np.float64(1.0))"
INFO,SVC,0.10008084811213545,0.1340615299665724,0.7778543492854908,0.9146676786357837,0.8462577612371527,0.7898647784280588,29075.60461417702,"{'C': np.float64(19.888923356881577), 'kernel': 'linear', 'gamma': 0.0001, 'coef0': np.float64(1.0)}","SVR(C=np.float64(18.45558525594767), coef0=np.float64(1.0))"
SHADE,SVC,0.07630024490370958,0.10782803677627632,0.8440568560794777,0.9492937048395074,0.9037946512362773,0.8888391636361712,7821.916504879016,"{'C': np.float64(18.25104753477617), 'kernel': 'rbf', 'gamma': 'scale', 'coef0': np.float64(0.9949479443600272)}","SVR(C=np.float64(18.45558525594767), coef0=np.float64(1.0))"
ARO,SVC,0.07632188859926306,0.10780404236749595,0.8441154332181772,0.9493160612355432,0.9038380135889666,0.8890022083660796,10752.930525731994,"{'C': np.float64(18.45558525594767), 'kernel': 'rbf', 'gamma': 'scale', 'coef0': np.float64(1.0)}","SVR(C=np.float64(18.45558525594767), coef0=np.float64(1.0))"
