method,model,AS,PS,RS,F1S,SS,NPV,run_time,best_params,best_estimator
GridSearchCV,SVC,0.9913294797687862,0.9914940416527452,0.9827331759149941,0.9869262295081968,0.9870514012010294,0.9929212454212455,36.92567660508212,"{'C': 10.0, 'coef0': 1.0, 'gamma': 'scale', 'kernel': 'poly'}","SVC(C=10.0, coef0=1.0, kernel='poly', random_state=42)"
RandomizedSearchCV,SVC,0.9869942196531792,0.9703160143949617,0.9570089001907185,0.9626999070975486,0.9829651749692507,0.9903393831668669,7.319009511964396,"{'C': np.float64(7.168573438476171), 'coef0': np.float64(0.7290071680409873), 'gamma': 'scale', 'kernel': 'rbf'}","SVC(C=np.float64(7.168573438476171), coef0=np.float64(0.7290071680409873),
    random_state=42)"
BayesSearchCV,SVC,0.9913294797687862,0.9914940416527452,0.9827331759149941,0.9869262295081968,0.9870514012010294,0.9929212454212455,1670.2541506730486,"OrderedDict({'C': 10.0, 'coef0': 0.6898025104052534, 'gamma': 'scale', 'kernel': 'poly'})","SVC(C=10.0, coef0=0.6898025104052534, kernel='poly', random_state=42)"
Optuna,SVC,0.9927745664739884,0.9903472821397757,0.9699959131777314,0.9797724521907529,0.990929725478982,0.9940227388360534,10.937086125020869,"{'C': 9.875030659592984, 'kernel': 'rbf', 'gamma': 'scale', 'coef0': 0.9988782421189562}","SVC(C=np.float64(9.080551228132128), coef0=np.float64(1.0), kernel='poly',
    random_state=42)"
RW-GWO,SVC,0.9898843930635839,0.9881412024269167,0.9817001180637543,0.9848171668683792,0.9861220331712897,0.9904539167152009,247.41406421200372,"{'C': np.float64(9.28204741884648), 'kernel': 'poly', 'gamma': 'scale', 'coef0': np.float64(0.9858603008276501)}","SVC(C=np.float64(9.080551228132128), coef0=np.float64(1.0), kernel='poly',
    random_state=42)"
INFO,SVC,0.9913294797687862,0.9914940416527452,0.9827331759149941,0.9869262295081968,0.9870514012010294,0.9929212454212455,214.9481924470747,"{'C': np.float64(9.9993004570298), 'kernel': 'poly', 'gamma': 'scale', 'coef0': np.float64(0.9999748774054859)}","SVC(C=np.float64(9.080551228132128), coef0=np.float64(1.0), kernel='poly',
    random_state=42)"
SHADE,SVC,0.9898843930635839,0.9881412024269167,0.9817001180637543,0.9848171668683792,0.9861220331712897,0.9904539167152009,328.1556427651085,"{'C': np.float64(9.290840398965733), 'kernel': 'poly', 'gamma': 'scale', 'coef0': np.float64(1.0)}","SVC(C=np.float64(9.080551228132128), coef0=np.float64(1.0), kernel='poly',
    random_state=42)"
ARO,SVC,0.9898843930635839,0.9881412024269167,0.9817001180637543,0.9848171668683792,0.9861220331712897,0.9904539167152009,154.81823111698031,"{'C': np.float64(9.080551228132128), 'kernel': 'poly', 'gamma': 'scale', 'coef0': np.float64(1.0)}","SVC(C=np.float64(9.080551228132128), coef0=np.float64(1.0), kernel='poly',
    random_state=42)"
