method,model,AS,PS,RS,F1S,SS,NPV,run_time,best_params,best_estimator
GridSearchCV,SVC,0.9977608598298253,0.9977317806487107,0.9977782246711981,0.9977548009354024,0.9977782246711981,0.9977317806487107,2527.715708582,"{'C': 50.0, 'coef0': 0.0, 'gamma': 'scale', 'kernel': 'linear'}","SVC(C=50.0, kernel='linear', random_state=42)"
RandomizedSearchCV,SVC,0.9977608598298253,0.9977317806487107,0.9977782246711981,0.9977548009354024,0.9977782246711981,0.9977317806487107,523.1133042279998,"{'C': np.float64(50.171157044742145), 'coef0': np.float64(0.39882444244455306), 'gamma': 'scale', 'kernel': 'linear'}","SVC(C=np.float64(50.171157044742145), coef0=np.float64(0.39882444244455306),
    kernel='linear', random_state=42)"
BayesSearchCV,SVC,0.9977608598298253,0.9977317806487107,0.9977782246711981,0.9977548009354024,0.9977782246711981,0.9977317806487107,2120.9121261830005,"OrderedDict({'C': 49.99999999999999, 'coef0': 0.0, 'gamma': 'auto', 'kernel': 'linear'})","SVC(C=49.99999999999999, gamma='auto', kernel='linear', random_state=42)"
Optuna,SVC,0.9982086878638603,0.9981586482008717,0.9982508144632587,0.9982039241803443,0.9982508144632587,0.9981586482008717,206.68089662999955,"{'C': 35.76127659433002, 'kernel': 'linear', 'gamma': 1e-05, 'coef0': 0.5648627160776923}","SVC(C=np.float64(42.21455605620268), coef0=np.float64(0.0), gamma=1e-05,
    kernel='linear', random_state=42)"
RW-GWO,SVC,0.9977608598298253,0.9977317806487107,0.9977782246711981,0.9977548009354024,0.9977782246711981,0.9977317806487107,1539.4592071490006,"{'C': np.float64(48.30014800830839), 'kernel': 'linear', 'gamma': 0.001, 'coef0': np.float64(0.7475741230731562)}","SVC(C=np.float64(42.21455605620268), coef0=np.float64(0.0), gamma=1e-05,
    kernel='linear', random_state=42)"
INFO,SVC,0.9977608598298253,0.9977317806487107,0.9977782246711981,0.9977548009354024,0.9977782246711981,0.9977317806487107,720.6530630890011,"{'C': np.float64(43.25431090348414), 'kernel': 'linear', 'gamma': 1e-05, 'coef0': np.float64(0.6537113970847385)}","SVC(C=np.float64(42.21455605620268), coef0=np.float64(0.0), gamma=1e-05,
    kernel='linear', random_state=42)"
SHADE,SVC,0.9977608598298253,0.9977317806487107,0.9977782246711981,0.9977548009354024,0.9977782246711981,0.9977317806487107,730.9003700459998,"{'C': np.float64(43.19376528793036), 'kernel': 'linear', 'gamma': 1e-05, 'coef0': np.float64(0.9588778864884591)}","SVC(C=np.float64(42.21455605620268), coef0=np.float64(0.0), gamma=1e-05,
    kernel='linear', random_state=42)"
ARO,SVC,0.9977608598298253,0.9977317806487107,0.9977782246711981,0.9977548009354024,0.9977782246711981,0.9977317806487107,749.5135009720016,"{'C': np.float64(42.21455605620268), 'kernel': 'linear', 'gamma': 1e-05, 'coef0': np.float64(0.0)}","SVC(C=np.float64(42.21455605620268), coef0=np.float64(0.0), gamma=1e-05,
    kernel='linear', random_state=42)"
